Job_Title,Job_Info
"Accounting Assistant I, Finance Operations & Tax","Application of knowledge and understanding with direct supervision and limited scope in performing the underlisted key functions:

Vetting, validation, and processing of accounting transactions related to creditors and debtors’ bills / invoices 
Identification, reconciliation, and correction of errors and discrepancies associated with creditors and debtors’ bills / invoices transactions 
Validation and analysis of outstanding creditors and debtors’ bills / invoices and associated indebtedness for accuracy and completeness 
Verification and validation of the accuracy of creditors and debtors’ billing / invoice payments 
Preparation and balancing of sales and purchase ledger control accounts using information extracted from the books of prime entry and approved accounting tools and software 
Preparation of tax control account using information extracted from the books of prime entry and approved accounting tools and software 
Reconciliation of balance on sales and purchase ledger control account 
Reconciliation of balance on tax control account. HND in Accounting or equivalent from a recognised institution.. Three (3) years relevant post qualification work experience.. Accounts Receivables Transaction Processing: Processing and recording of accounting transactions related to debtors’ bills / invoices for completeness and accuracy using appropriate software, tools, and documentation in accordance with the organisation’s accounting procedures., Accounts Payables Transaction Processing: Processing and recording of accounting transactions related to creditors’ bills / invoices for completeness and accuracy using appropriate software, tools, and documentation in accordance with the organisation’s accounting procedures., Tax Accounting Transactions Processing: Computation and posting of indirect tax records (such as VAT, NHIL, GetFund, etc.,) into tax control account in accordance with accounting policies, procedures, and standards., Tax Control Account Reconciliation: Reconciliation of the balance of the tax control account to ensure completeness and accuracy in accordance with accounting policies, procedures, and standards., Tax Returns: Preparing corporate tax returns for submission in accordance with the statutory time limit, and accounting policies, procedures, and standards., Functional Area Risk Identification, Management & Control: Identification, analysis, and evaluation of the impact of risks and associated remedial measures and controls in a functional area., Functional Area Safety Hazard Identification, Management & Control: Assessing, identifying, and establishing control measures to manage the impact of safety hazards in a functional area., Operational Data Analysis & Usage: Utilising approved data analysis, visualisation, and business intelligent tools for the analysis and presentation of data on operational activities to support decision making., Technical Writing: Production and sharing of analytical / research-based complex, technical and specialised documents, reports, proposals, articles, manuals, policies, guidelines, and briefs to targeted audience in relevant professional setting, using appropriate technical writing tools and technology., Written Communication: Utilising knowledge and understanding of subject and functional area to effectively communicate to varied stakeholders., Knowledge Sharing, Collaboration & Mentoring: Capturing, maintaining, and transferring tacit and explicit technical information and knowledge to provide continuous professional development and empower employees to perform their functions effectively and efficiently, and guarantee continuous operations., Knowledge Application for Learning & Decision-Making: Monitoring and evaluating the use, application, and impact of knowledge in decision making; provide learning and training opportunities to improve team / functional area effectiveness., Incident / Accident Management: Development and communication of approaches, processes and procedures for reporting and management of incidents / accidents as they occur at the workplace in compliance with regulatory requirements and mitigate organisational impact., Emergency Response Management: Development and management of emergency preparedness and response plans, processes, and procedures to mitigate identified contingencies in relation to safety and other hazardous situations in the organization., Integrity: Behave in an honest, fair, and ethical manner and model high standards of ethical behaviours and professionalism., Customer Impact: Focus on the customers’ perspective as a driving force behind business decisions and develop unique value proposition and excellent service offerings that add value to the customer, create positive experience at every point of interaction and building long term mutual beneficiary relationship., Results Orientation: Focus on results by leveraging available resources and solving problems creatively to meet or exceed established goals and objectives., Creative Thinking: Continuously seek to encourage idea generation that creates novelty ways of improving processes and systems; valuable products / service offerings and enhancing customer experience for sustainable organisational competitiveness., Communication Effectiveness: Receive, convey, explain, persuade, and influence others by expressing thoughts and views concisely, effectively, and appropriately in a range of different settings to hold their attention and achieve desired impact., Teamwork: Work effectively and cooperatively within a diverse and varied teams or workgroups within and across the organisation to enhance team efficiency, achieve shared goals and optimise organisational results., Networking & Collaboration: Proactively build and maintain responsive relationships with networks of people or partners within and beyond the organisation that support and mutually share information, perspectives, and insights in moving organisation-wide agenda forward and furthering corporate goals., Talent Development: Foster the continuous learning and development of employees by building on their skills, expertise and capabilities through ongoing training, development, and feedback to meet the current and future needs of the organisation., Political Savvy: Anticipate politically sensitive situations or scenarios both internally / externally and their likely impact on the organisation; and exhibit confidence and professional diplomacy to maximise and leverage relationships for timely mitigation and / or resolution., Problem Solving: Identify and define problems / issues; and analyse a variety of relevant information / viewpoints from internal and / or external sources in order to provide a range of options for effective decisions making whilst considering their impact on the organisation., Planning & Organising: Manage self and organise the work of others / workgroups; using goal setting, objectives, targets, creating work schedules and work-plans with associated budgets and resources, according to the organisation's procedures and practices in order to achieve own, work group and organisation-wide goals and objectives., Presentation & Facilitation Skills: Deliver well-structured presentations before a varied group of people / audiences and impart knowledge and information, using appropriate communication style and techniques, group dynamics, audio visual aids / digital tools and conferencing facilities to achieve the desired results., Knowledge Management: Create, identify and manage information asset of the organisation; knowledge and expertise of employees and their learnings from the organisational operations and structure them, using internal capability development and appropriate digital technology / tools for efficient and effective usage for the growth and benefit of employees, organisation and relevant stakeholders., Digital Literacy Skills: Utilise Windows and Microsoft Office based software applications and appropriate digital tools and information technologies to navigate, evaluate, analyse and synthesise digital resources to generate electronic reports, memos, documents, letters, etc. to enhance workplace efficiency and service delivery., Business Insight: Stay abreast of current and emerging business issues, understand the implications on business sustainability and growth and make the best business decisions / choices for continuous improvement in customer value creation and organisational performance."
"Accounting Assistant I, Finance Operations & Tax",HND in Accounting / Finance 2 years experience Detail-oriented accounting professional with focus on accuracy and efficiency in financial operations and tax procedures SAP/ERP systems; MS Excel advanced; QuickBooks; Tax compliance software Attention to detail; Analytical thinking; Time management Process financial transactions; Prepare tax documentation; Reconcile accounts; Assist in month-end closing; Maintain financial records Reduced processing time for monthly reconciliations by 30%; Automated reconciliation process saving 10 hours weekly Highly organized; Methodical approach; Strong ethics Certified Accounting Technician (CAT)
"Accounting Assistant I, Finance Operations & Tax",HND in Accounting / Finance 3 years experience Results-driven accounting professional with strong foundation in financial operations and regulatory compliance Oracle Financials; Advanced Excel; Tax software; Financial reporting tools Organization; Problem-solving; Communication Manage daily financial transactions; Process tax documents; Prepare financial reports; Maintain accounting databases Streamlined tax documentation process saving 15 hours monthly; Developed new reconciliation templates Detail-focused; Team player; Process-oriented Excel Expert Certification; Accounting Software Proficiency
"Accounting Assistant I, Finance Operations & Tax",HND in Accounting / Finance 2 years experience Detail-oriented accounting professional with focus on accuracy and efficiency in financial operations SAP/ERP systems; MS Excel advanced; QuickBooks; Tax compliance software Attention to detail; Analytical thinking; Time management Process financial transactions; Prepare tax documentation; Reconcile accounts; Maintain financial records Reduced processing time for monthly reconciliations by 30%; Automated reconciliation process Highly organized; Methodical; Ethical Certified Accounting Technician (CAT)
"Accounting Assistant I, Finance Operations & Tax",HND in Accounting / Finance 3 years experience Process-driven accounting professional specializing in tax operations Oracle Financials; Advanced Excel; Tax software; Financial reporting Organization; Problem-solving; Communication Manage daily transactions; Process tax documents; Prepare reports; Maintain databases Streamlined tax documentation process; Developed new reconciliation templates Detail-focused; Team player Excel Expert; Tax Software Certified
"Accounting Assistant I, Treasury, Payroll & Pensions","Application of knowledge and understanding with direct supervision and limited scope in performing the underlisted key functions:

Recording, verification, and processing payroll and pensions related transactions and associated data
Maintenance and update of payroll related data including tax and other relevant information
Verification of the accuracy of payroll data and preparing reports on payroll activities
Calculation and processing payroll checks or electronic transfers of funds
Verification and validation of the totals and balances of the ledger accounts into relevant items for accuracy and completeness 
Verification and validation of initial trial balance 
Processing of petty cash transactions and maintenance of petty cash float 
Balance-off the petty cash book 
Reconciliation of petty cash book with cash-in-hand 
Preparation of petty cash reimbursement request.
Verification and validation of captured e petty cash expenditure in the petty cash book 
Examination of items on bank statement against the cashbook for accuracy and completeness 
Update of cashbook from bank statement, direct debit, and standing order schedules 
Preparation of bank reconciliation statements. HND in Accounting or equivalent from a recognised institution.. Three (3) years relevant post qualification work experience.. Functional Area Risk Identification, Management & Control: Identification, analysis, and evaluation of the impact of risks and associated remedial measures and controls in a functional area., Functional Area Safety Hazard Identification, Management & Control: Assessing, identifying, and establishing control measures to manage the impact of safety hazards in a functional area., Operational Data Analysis & Usage: Utilising approved data analysis, visualisation, and business intelligent tools for the analysis and presentation of data on operational activities to support decision making., Technical Writing: Production and sharing of analytical / research-based complex, technical and specialised documents, reports, proposals, articles, manuals, policies, guidelines, and briefs to targeted audience in relevant professional setting, using appropriate technical writing tools and technology., Written Communication: Utilising knowledge and understanding of subject and functional area to effectively communicate to varied stakeholders., Knowledge Sharing, Collaboration & Mentoring: Capturing, maintaining, and transferring tacit and explicit technical information and knowledge to provide continuous professional development and empower employees to perform their functions effectively and efficiently, and guarantee continuous operations., Knowledge Application for Learning & Decision-Making: Monitoring and evaluating the use, application, and impact of knowledge in decision making; provide learning and training opportunities to improve team / functional area effectiveness., Incident / Accident Management: Development and communication of approaches, processes and procedures for reporting and management of incidents / accidents as they occur at the workplace in compliance with regulatory requirements and mitigate organisational impact., Emergency Response Management: Development and management of emergency preparedness and response plans, processes, and procedures to mitigate identified contingencies in relation to safety and other hazardous situations in the organization., Integrity: Behave in an honest, fair, and ethical manner and model high standards of ethical behaviours and professionalism., Customer Impact: Focus on the customers’ perspective as a driving force behind business decisions and develop unique value proposition and excellent service offerings that add value to the customer, create positive experience at every point of interaction and building long term mutual beneficiary relationship., Results Orientation: Focus on results by leveraging available resources and solving problems creatively to meet or exceed established goals and objectives., Creative Thinking: Continuously seek to encourage idea generation that creates novelty ways of improving processes and systems; valuable products / service offerings and enhancing customer experience for sustainable organisational competitiveness., Communication Effectiveness: Receive, convey, explain, persuade, and influence others by expressing thoughts and views concisely, effectively, and appropriately in a range of different settings to hold their attention and achieve desired impact., Teamwork: Work effectively and cooperatively within a diverse and varied teams or workgroups within and across the organisation to enhance team efficiency, achieve shared goals and optimise organisational results., Networking & Collaboration: Proactively build and maintain responsive relationships with networks of people or partners within and beyond the organisation that support and mutually share information, perspectives, and insights in moving organisation-wide agenda forward and furthering corporate goals., Talent Development: Foster the continuous learning and development of employees by building on their skills, expertise and capabilities through ongoing training, development, and feedback to meet the current and future needs of the organisation., Political Savvy: Anticipate politically sensitive situations or scenarios both internally / externally and their likely impact on the organisation; and exhibit confidence and professional diplomacy to maximise and leverage relationships for timely mitigation and / or resolution., Problem Solving: Identify and define problems / issues; and analyse a variety of relevant information / viewpoints from internal and / or external sources in order to provide a range of options for effective decisions making whilst considering their impact on the organisation., Planning & Organising: Manage self and organise the work of others / workgroups; using goal setting, objectives, targets, creating work schedules and work-plans with associated budgets and resources, according to the organisation's procedures and practices in order to achieve own, work group and organisation-wide goals and objectives., Presentation & Facilitation Skills: Deliver well-structured presentations before a varied group of people / audiences and impart knowledge and information, using appropriate communication style and techniques, group dynamics, audio visual aids / digital tools and conferencing facilities to achieve the desired results., Knowledge Management: Create, identify and manage information asset of the organisation; knowledge and expertise of employees and their learnings from the organisational operations and structure them, using internal capability development and appropriate digital technology / tools for efficient and effective usage for the growth and benefit of employees, organisation and relevant stakeholders., Digital Literacy Skills: Utilise Windows and Microsoft Office based software applications and appropriate digital tools and information technologies to navigate, evaluate, analyse and synthesise digital resources to generate electronic reports, memos, documents, letters, etc. to enhance workplace efficiency and service delivery., Business Insight: Stay abreast of current and emerging business issues, understand the implications on business sustainability and growth and make the best business decisions / choices for continuous improvement in customer value creation and organisational performance., General Ledger Transactions Processing: Processing of financial transactions and associated data to the relevant accounting sub ledgers and general ledger for accuracy and completeness using approved accounting tools and software in accordance with accounting policies and procedures., Bank Statement Reconciliation: Examining and reconciling items on a bank statement with internal financial records, and subsequent issuance of bank reconciliation statement in accordance with approved accounting policies, procedures, standards."
Administrative Assistant I,"Application of knowledge and understanding with direct supervision and limited scope in performing the underlisted key functions:

Purchasing or requisition of office supplies and logistics
Facilitation of travel arrangements and other protocol services
Drafting memoranda, reports, and other documents
Arranging, providing logistics services for meetings, and Minutes recording
Receiving and attending to official visitors and guests
Recording, filing, maintaining confidential files and documents
Calendar, diary, and appointment scheduling and management
Supervision of janitors to ensure good housekeeping. HND or equivalent in relevant field.. Three (3) years relevant post qualification work experience.. Office Logistics & Housekeeping: Requisition and management of office stationaries and related supplies; monitoring and ensuring the general cleanliness of designated offices to support business operations in accordance with organisation’s policies, procedures, and standards., Functional Area Risk Identification, Management & Control: Identification, analysis, and evaluation of the impact of risks and associated remedial measures and controls in a functional area., Functional Area Safety Hazard Identification, Management & Control: Assessing, identifying, and establishing control measures to manage the impact of safety hazards in a functional area., Written Communication: Utilising knowledge and understanding of subject and functional area to effectively communicate to varied stakeholders., Knowledge Application for Learning & Decision-Making: Monitoring and evaluating the use, application, and impact of knowledge in decision making; provide learning and training opportunities to improve team / functional area effectiveness., Incident / Accident Management: Development and communication of approaches, processes and procedures for reporting and management of incidents / accidents as they occur at the workplace in compliance with regulatory requirements and mitigate organisational impact., Emergency Response Management: Development and management of emergency preparedness and response plans, processes, and procedures to mitigate identified contingencies in relation to safety and other hazardous situations in the organization., Integrity: Behave in an honest, fair, and ethical manner and model high standards of ethical behaviours and professionalism., Customer Impact: Focus on the customers’ perspective as a driving force behind business decisions and develop unique value proposition and excellent service offerings that add value to the customer, create positive experience at every point of interaction and building long term mutual beneficiary relationship., Appointment Scheduling & Management: Scheduling, maintaining, and managing appointments and calendars for designated officers in an effective and efficient manner in accordance with organisational policies and procedures., Results Orientation: Focus on results by leveraging available resources and solving problems creatively to meet or exceed established goals and objectives., Communication Effectiveness: Receive, convey, explain, persuade, and influence others by expressing thoughts and views concisely, effectively, and appropriately in a range of different settings to hold their attention and achieve desired impact., Teamwork: Work effectively and cooperatively within a diverse and varied teams or workgroups within and across the organisation to enhance team efficiency, achieve shared goals and optimise organisational results., Problem Solving: Identify and define problems / issues; and analyse a variety of relevant information / viewpoints from internal and / or external sources in order to provide a range of options for effective decisions making whilst considering their impact on the organisation., Planning & Organising: Manage self and organise the work of others / workgroups; using goal setting, objectives, targets, creating work schedules and work-plans with associated budgets and resources, according to the organisation's procedures and practices in order to achieve own, work group and organisation-wide goals and objectives., Presentation & Facilitation Skills: Deliver well-structured presentations before a varied group of people / audiences and impart knowledge and information, using appropriate communication style and techniques, group dynamics, audio visual aids / digital tools and conferencing facilities to achieve the desired results., Knowledge Management: Create, identify and manage information asset of the organisation; knowledge and expertise of employees and their learnings from the organisational operations and structure them, using internal capability development and appropriate digital technology / tools for efficient and effective usage for the growth and benefit of employees, organisation and relevant stakeholders., Digital Literacy Skills: Utilise Windows and Microsoft Office based software applications and appropriate digital tools and information technologies to navigate, evaluate, analyse and synthesise digital resources to generate electronic reports, memos, documents, letters, etc. to enhance workplace efficiency and service delivery., Business Insight: Stay abreast of current and emerging business issues, understand the implications on business sustainability and growth and make the best business decisions / choices for continuous improvement in customer value creation and organisational performance., Client Services Support: Provision of first-level client service support and professional and timely receptionist duties in accordance with applicable organisational policies and procedures., Meeting & Minutes Documentation Support: Provision of support for meetings and minutes documentation; preservation of the confidentiality of minutes and related documentation for functional areas in accordance with applicable organisational policies and procedures., Registry Administrative Services: Provision of reliable registry services in accordance with documentation, records management and archiving policies, procedures, and processes., Petty Cash Record Maintenance: Processing petty cash transactions and maintaining petty cash float in accordance with approved accounting policies, procedures, and standards."
Administrative Assistant I,"HND in Business Administration or related field 3 years experience Efficient administrative professional with proven experience in HR operations and office management. Strong organizational and multitasking abilities. HRIS systems, MS Office Suite, Document management systems, Database management Communication, Organization, Multitasking Manage HR documentation; Coordinate meetings and appointments; Process employee information; Maintain HR databases; Support recruitment activities Created new filing system reducing document retrieval time by 50%; Implemented digital documentation process improving efficiency by 30% Professional demeanor, Organized, Confidential, Efficient Office Management Certification, HRIS Certification"
Administrative Officer,"Application of knowledge and understanding with minimal supervision and limited scope in the research, collation, analysis of information, support, and participate in the performance of the underlisted key functions:
Development and organisation of office operations and procedures.
Coordinating and liaising with Human Resource Department on HR related issues.
Facilitating staff recruitment, training, promotion, transfer, retirement, and benefits payment.
Purchasing or requisition of office supplies and logistics.
Facilitation of travel arrangements and other protocol services.
Drafting confidential and sensitive memoranda, reports, and other documents.
Collation, consolidation and preparation of business plans, budget, and reports.
Arranging, providing logistics services for meetings, and Minutes recording.
Receiving and attending to official visitors and guests.
Recording, filing, maintaining, and protecting confidential files and documents.
Calendar, diary, and appointment scheduling and management.
Coordinating transport management services.
Supervision of janitors to ensure good housekeeping.. B.A / B.Sc. or equivalent in relevant field.. Three (3) years relevant post qualification work experience. Technical Writing: Production and sharing of analytical / research-based complex, technical and specialised documents, reports, proposals, articles, manuals, policies, guidelines, and briefs to targeted audience in relevant professional setting, using appropriate technical writing tools and technology., Office Logistics & Housekeeping: Requisition and management of office stationaries and related supplies; monitoring and ensuring the general cleanliness of designated offices to support business operations in accordance with organisation’s policies, procedures, and standards., Incident / Accident Management: Development and communication of approaches, processes and procedures for reporting and management of incidents / accidents as they occur at the workplace in compliance with regulatory requirements and mitigate organisational impact., Emergency Response Management: Development and management of emergency preparedness and response plans, processes, and procedures to mitigate identified contingencies in relation to safety and other hazardous situations in the organization., Networking & Collaboration: Proactively build and maintain responsive relationships with networks of people or partners within and beyond the organisation that support and mutually share information, perspectives, and insights in moving organisation-wide agenda forward and furthering corporate goals., Talent Development: Foster the continuous learning and development of employees by building on their skills, expertise and capabilities through ongoing training, development, and feedback to meet the current and future needs of the organisation., Appointment Scheduling & Management: Scheduling, maintaining, and managing appointments and calendars for designated officers in an effective and efficient manner in accordance with organisational policies and procedures., Client Services Support: Provision of first-level client service support and professional and timely receptionist duties in accordance with applicable organisational policies and procedures., Meeting & Minutes Documentation Support: Provision of support for meetings and minutes documentation; preservation of the confidentiality of minutes and related documentation for functional areas in accordance with applicable organisational policies and procedures., Registry Administrative Services: Provision of reliable registry services in accordance with documentation, records management and archiving policies, procedures, and processes., Presentation & Facilitation Skills: Deliver well-structured presentations before a varied group of people / audiences and impart knowledge and information, using appropriate communication style and techniques, group dynamics, audio visual aids / digital tools and conferencing facilities to achieve the desired results., Digital Literacy Skills: Utilise Windows and Microsoft Office based software applications and appropriate digital tools and information technologies to navigate, evaluate, analyse and synthesise digital resources to generate electronic reports, memos, documents, letters, etc. to enhance workplace efficiency and service delivery., Functional Area Risk Identification, Management & Control: Identification, analysis, and evaluation of the impact of risks and associated remedial measures and controls in a functional area., Functional Area Safety Hazard Identification, Management & Control: Assessing, identifying, and establishing control measures to manage the impact of safety hazards in a functional area., Financial Resources Management: Planning, budgeting, justification, controlling, and reporting on the use of financial resources to support the achievement of cost centre plans, goals, and objectives in compliance with the organisation’s financial management policies, guidelines, and procedures., Written Communication: Utilising knowledge and understanding of subject and functional area to effectively communicate to varied stakeholders., Knowledge Sharing, Collaboration & Mentoring: Capturing, maintaining, and transferring tacit and explicit technical information and knowledge to provide continuous professional development and empower employees to perform their functions effectively and efficiently, and guarantee continuous operations., Integrity: Behave in an honest, fair, and ethical manner and model high standards of ethical behaviours and professionalism., Customer Impact: Focus on the customers’ perspective as a driving force behind business decisions and develop unique value proposition and excellent service offerings that add value to the customer, create positive experience at every point of interaction and building long term mutual beneficiary relationship., Creative Thinking: Continuously seek to encourage idea generation that creates novelty ways of improving processes and systems; valuable products / service offerings and enhancing customer experience for sustainable organisational competitiveness., Teamwork: Work effectively and cooperatively within a diverse and varied teams or workgroups within and across the organisation to enhance team efficiency, achieve shared goals and optimise organisational results., Political Savvy: Anticipate politically sensitive situations or scenarios both internally / externally and their likely impact on the organisation; and exhibit confidence and professional diplomacy to maximise and leverage relationships for timely mitigation and / or resolution., Problem Solving: Identify and define problems / issues; and analyse a variety of relevant information / viewpoints from internal and / or external sources in order to provide a range of options for effective decisions making whilst considering their impact on the organisation., Planning & Organising: Manage self and organise the work of others / workgroups; using goal setting, objectives, targets, creating work schedules and work-plans with associated budgets and resources, according to the organisation's procedures and practices in order to achieve own, work group and organisation-wide goals and objectives., Technical Expertise / Credibility: Develop technical knowledge and professional expertise over time through education, training and experience and apply the knowledge / expertise to effectively execute manage and technical assignment, work / project to advance the organisations services and achieve outcomes., Knowledge Management: Create, identify and manage information asset of the organisation; knowledge and expertise of employees and their learnings from the organisational operations and structure them, using internal capability development and appropriate digital technology / tools for efficient and effective usage for the growth and benefit of employees, organisation and relevant stakeholders., Business Insight: Stay abreast of current and emerging business issues, understand the implications on business sustainability and growth and make the best business decisions / choices for continuous improvement in customer value creation and organisational performance., Results Orientation: Focus on results by leveraging available resources and solving problems creatively to meet or exceed established goals and objectives., Communication Effectiveness: Receive, convey, explain, persuade, and influence others by expressing thoughts and views concisely, effectively, and appropriately in a range of different settings to hold their attention and achieve desired impact., Strategic Thinking: Think into the future to understand emerging opportunities and challenges in the business environment in order to craft a compelling vision and develop alternatives scenarios with associated strategies or business models that deliver customer value and maximise opportunities for sustainable or competitive advantage., Managing Change: Plan and monitor the implementation of activities designed to effectively manage change Sponsors, Champions, Agents, those affected by the change and key stakeholders in order to successfully embed initiatives / projects and transition the organisation and people to the required future state., Decisiveness: Make sound, well-informed, and effective decisions in a timely manner in order to carry out programmes and determine best cause of action in the face of ambiguity, complexities, conflicting or risky situations., Procurement Support: Provision of procurement plan, technical, and commercial requirements to facilitate the tendering and procurement of works, goods, and services for the functional area., Operational Data Analysis & Usage: Utilising approved data analysis, visualisation, and business intelligent tools for the analysis and presentation of data on operational activities to support decision making., Petty Cash Record Maintenance: Processing petty cash transactions and maintaining petty cash float in accordance with approved accounting policies, procedures, and standards., Employee Records Administration: Creating and maintaining employee records to support human resource management in line with organisational policies, processes, procedures, and standards., Employee Relations Facilitation: Application of knowledge and understanding to disseminate, interpret and advice on human resource policies, processes and procedures and providing support for grievance, conflict, and dispute resolution., Employee Performance & Career Management Facilitation: Communication, training, and provision of guidance to employees for the timely completion and submission of performance appraisal and development forms in accordance with performance management cycle., Operational Business Advisory & Assurance Knowledge: Application of operational and functional area knowledge for effective and efficient business advisory and assurance engagement and delivery within the organisation., Knowledge Application for Learning & Decision-Making: Monitoring and evaluating the use, application, and impact of knowledge in decision making; provide learning and training opportunities to improve team / functional area effectiveness."
Administrative Officer,Bachelor's Degree in Business Administration 5 years experience Administrative professional with strong organizational skills MS Office suite; Project management tools; CRM systems Organization; Communication Manage office operations; Coordinate meetings; Supervise staff Improved workflow efficiency by 30%; Implemented new systems Process improver; Organized Office Management Cert
